code,label,description,parent_code,examples
55500000,Canteen and catering services,Meditsiini väljaõppe kursuse toitlustamine 08.05.2023-14.07.2023,,"Meditsiini väljaõppe kursuse toitlustamine 08.05.2023-14.07.2023 || Meditsiini väljaõppe kursuse toitlustamine 08.05.2023-14.07.2023 vastavalt seotud hanke alusdokumentidele. || Sõdurite (sh liitlaste) toitlustamine nt metsas, õppustel või koolitustel. || Estonia – Canteen and catering services – Meditsiini väljaõppe kursuse toitlustamine 08.05.2023-14.07.2023"
55520000,Catering services,21. Kooli toitlustushange,,"21. Kooli toitlustushange || Hanke esemeks on Tallinna 21. Kooli toitlustusteenuse osutamine vastavalt alusdokumentidele, sh tehnilisele kirjeldusele (Lisa 1). || Estonia – Catering services – 21. Kooli toitlustushange || Tallinna Humanitaargümnaasiumi toitlustushange || Estonia – Catering services – Tallinna Humanitaargümnaasiumi toitlustushange || Tallinna Läänemere Gümnaasiumi toitlustushange || Estonia – Catering services – Tallinna Läänemere Gümnaasiumi toitlustushange || Lasnamäe Gümnaasiumi toitlustushange"
55523100,School-meal services,Õpilaste toitlustamine,,"Õpilaste toitlustamine || Ida-Virumaa Kutsehariduskeskuse Sillamäe Essti põhikooli, Sillamäe Gümnaasiumi ja Narva Gümnaasiumi põhikooli ja põhikoolijärgsete õpilaste toitlustamine (koolilõuna) Narvas Sillamäel ja Jõhvis || Estonia – School-meal services – Õpilaste toitlustamine"
55900000,Retail trade services,"Konzession Tabakfachgeschäft an der Adresse Vinzenz-Muchitsch-Straße , 8020 Graz,05.Bez.:Gries",,"Konzession Tabakfachgeschäft an der Adresse Vinzenz-Muchitsch-Straße , 8020 Graz,05.Bez.:Gries || Selbstständiger Betrieb eines Tabakfachgeschäfts gem. Tabakmonopolgesetz an der Adresse Vinzenz-Muchitsch-Straße , 8020 Graz,05.Bez.:Gries || ['Selbstständiger Betrieb eines Tabakfachgeschäfts gem. Tabakmonopolgesetz an der Adresse Vinzenz-Muchitsch-Straße , 8020 Graz,05.Bez.:Gries'] || Austria – Retail trade services – Konzession Tabakfachgeschäft an der Adresse Vinzenz-Muchitsch-Straße , 8020 Graz,05.Bez.:Gries || Konzession Tabakfachgeschäft an der Adresse Simmeringer Hauptstraße 102, 1110 Wien || Selbstständiger Betrieb eines Tabakfachgeschäfts gem. Tabakmonopolgesetz an der Adresse Simmeringer Hauptstraße 102, 1110 Wien || ['Selbstständiger Betrieb eines Tabakfachgeschäfts gem. Tabakmonopolgesetz an der Adresse Simmeringer Hauptstraße 102, 1110 Wien'] || Austria – Retail trade services – Konzession Tabakfachgeschäft an der Adresse Simmeringer Hauptstraße 102, 1110 Wien"
60100000,Road transport services,Põlevkivi veoteenuse ostmine (kuni 124 000 t),,"Põlevkivi veoteenuse ostmine (kuni 124 000 t) || Põlevkivi veoteenus Põhja-Kiviõli II karjäärist (Kiviõli Keemiatööstuse OÜ (KKT)) Enefit Power AS (EP) lattu. Hanke tulemusel sõlmitud lepingu alusel teostab pakkuja põlevkivi veoteenust koguses 155 000 t vastavalt hankija poolt esitatud tellimustele. Sõltuvalt tarbimisvajadusest on hankijal õigus vähendada veetavat põlevkivi kogust 30% võrra. Teenuse osutamise periood: 15.05.2023 kuni 30.09.2023. || Põlevkivi veoteenus Põhja-Kiviõli II karjäärist (Kiviõli Keemiatööstuse OÜ (KKT)) Enefit Power AS (EP) lattu. Hanke tulemusel sõlmitud lepingu alusel teostab pakkuja põlevkivi veoteenust koguses 155 000 t vastavalt hankija poolt esitatud tellimustele. Sõltuvalt tarbimisvajadusest on hankijal õigus vähendada veetavat põlevkivi kogust 30% võrra. Teenuse osutamise periood: 15.05.2023 kuni 30.09.2023. Vastavalt Riigihangete seaduse § 35 lg 3 võrgustikusektori hankija ja dünaamilise hankesüsteemiga liitunud taotlejad võivad kokku leppida teistsuguses pakkumuste esitamise tähtajas, tingimusel et kõikidele dünaamilise hankesüsteemiga liitunud taotlejatele antakse pakkumuste esitamiseks võrdne tähtaeg. Hankija teeb ettepaneku määrata pakkumuste esitamise tähtajaks xx päeva. Kui taotlejal on tähtaja kohta vastuväiteid, siis palume sellest teavitada hanke teabevahetuse kaudu. || Estonia – Road transport services – Põlevkivi veoteenuse ostmine (kuni 124 000 t) || Rendisõidukid KV esindajatele Brüsselis ja Mons's || Hanke eesmärk on rentida 2 tk väikebussi ja 2 tk sedaani (kasutamata) Kaitseväe esinduse jaoks Brüsselis ja Mons'is, Belgias. Pakkuja peab suutma tagada sõidukitele liiklus- ja kaskokindlustuskaitset, remondi- ja hooldusteenust nimetatud linnades ning diplomaatiliste numbrimärkide kasutamise. || Estonia – Road transport services – Rendisõidukid KV esindajatele Brüsselis ja Mons's"
60112000,Public road transport services,Avalik bussiliinivedu Jõgeva maakonnas,,"Avalik bussiliinivedu Jõgeva maakonnas || Hankelepingu esemeks on Euroopa Parlamendi ja nõukogu määruse (EÜ) nr 1370/2007 tähenduses sõitjate vedu avaliku teenindamise lepingu alusel Jõgeva maakonna avalikel bussiliinidel eeldatavalt perioodil 01.10.2024 – 30.09.2032, sh sõidupiletite müügi ja muude avaliku teenindamise kohustusega kaasnevate teenuste ning nende üle järelevalve teostamise korraldus hanke alusdokumentides ja selle lisades ettenähtud tingimustel. || Estonia – Public road transport services – Avalik bussiliinivedu Jõgeva maakonnas || Avaliku bussiliiniveo korraldamine Harju maakonna Saue valla bussiliinidel osa 1 ja osa 2 || Lepingu esemeks on Euroopa Parlamendi ja nõukogu määruse (EÜ) nr 1370/2007 tähenduses sõitjate vedu ATL-i alusel Harju maakonna Saue valla bussiliinidel eeldataval perioodil 01.09.2023 – 31.08.2028, sh sõidupiletite müügi ja muude avaliku teenindamise kohustusega kaasnevate teenuste ning nende üle järelevalve teostamise korraldus HD-s ja selle lisades ettenähtud tingimustel || Lepingu esemeks on Euroopa Parlamendi ja nõukogu määruse (EÜ) nr 1370/2007 tähenduses sõitjate vedu ATL-i alusel Harju maakonna Saue valla bussiliinidel eeldataval perioodil 01.09.2023 – 31.08.2028, sh sõidupiletite müügi ja muude avaliku teenindamise kohustusega kaasnevate teenuste ning nende üle järelevalve teostamise korraldus HD-s ja selle lisades ettenähtud tingimustel. || Estonia – Public road transport services – Avaliku bussiliiniveo korraldamine Harju maakonna Saue valla bussiliinidel osa 1 ja osa 2"
60130000,Special-purpose road passenger-transport services,Antsla valla õpilasliinide teenindamine,,"Antsla valla õpilasliinide teenindamine || Antsla vallas asuvate Antsla Gümnaasiumi ja Kuldre Kooli õpilasliinide teenindamine. Hange ei ole jagatud osadeks kuna liinid on ühtne tervik ja korraga teenindatakse mõlemat kooli. || Estonia – Special-purpose road passenger-transport services – Antsla valla õpilasliinide teenindamine || Audru ja Tõstamaa õpilasvedu 2023-2026 || Riigihanke objektiks on Pärnu linna Audru ja Tõstamaa osavaldade haridusasutuste õpilastele koolibussiteenuse osutamine 2023/2024, 2024/2025 ja 2025/2026 õppeaastal. || Pärnu linna Audru osavalla haridusasutuste õpilastele koolibussiteenuse osutamine 2023/2024, 2024/2025 ja 2025/2026 õppeaastal || Estonia – Special-purpose road passenger-transport services – Audru ja Tõstamaa õpilasvedu 2023-2026"
60410000,Scheduled air transport services,Avaliku liiniveo teostamine Tallinn-Kuressaare-Tallinn ja Tallinn-Kärdla-Tallinn lennuliinidel,,Avaliku liiniveo teostamine Tallinn-Kuressaare-Tallinn ja Tallinn-Kärdla-Tallinn lennuliinidel || Estonia – Scheduled air transport services – Avaliku liiniveo teostamine Tallinn-Kuressaare-Tallinn ja Tallinn-Kärdla-Tallinn lennuliinidel
60651000,Hire of vessels with crew,"Uurimislaeva rentimine kalavarude akustiliseks hindamiseks Läänemere kirdeosas, Soome ja Liivi lahes",,"Uurimislaeva rentimine kalavarude akustiliseks hindamiseks Läänemere kirdeosas, Soome ja Liivi lahes || Hankemenetluse esemeks on uurimislaeva rentimine pelaagiliste kalavarude hüdroakustiline hindamine Läänemerekirdeosas (alampiirkondades 28.1, 28.2, 29 ja 32). Uurimistööde programm ja renditava uurimislaeva tehniline kirjeldus on esitatud hankedokumendi lisas 1. || Estonia – Hire of vessels with crew – Uurimislaeva rentimine kalavarude akustiliseks hindamiseks Läänemere kirdeosas, Soome ja Liivi lahes"
63120000,Storage and warehousing services,"Hanke eesmärk on leida koostööpartner hankija kauba vastuvõtmiseks, ladustamiseks, komplekteerimiseks, pakendamiseks, väljastamiseks, veoks ja muude vajalike laoteenuste osutamiseks vastavalt hankija esitatud tellimustele. Hanke eeldatav maksumus ei kohusta hankijat selles mahus teenuseid tellima. Lõplikud kogused ja summad selguvad sõlmitavate hankelepingute käigus.",,"Hanke eesmärk on leida koostööpartner hankija kauba vastuvõtmiseks, ladustamiseks, komplekteerimiseks, pakendamiseks, väljastamiseks, veoks ja muude vajalike laoteenuste osutamiseks vastavalt hankija esitatud tellimustele. Hanke eeldatav maksumus ei kohusta hankijat selles mahus teenuseid tellima. Lõplikud kogused ja summad selguvad sõlmitavate hankelepingute käigus. || Estonia – Storage and warehousing services – Ladustamisteenus || Toiduvarude ladustamine || Vastavalt tehnilisele kirjeldusele || Estonia – Storage and warehousing services – Toiduvarude ladustamine || Riigikaitseõppe laagrite varustuse majandamine || Hanke eesmärgiks on sõlmida raamleping ühe partneriga, kes osutaks 48 kuu jooksul riigikaitsõpetuse laagrite korraldamise jaoks vajaminema varustuse komplekteerimis-, ladustamis-, transpordi- ning hooldusteenust. || Estonia – Storage and warehousing services – Riigikaitseõppe laagrite varustuse majandamine"
63510000,Travel agency and similar services,Reisiteenuste ostmine 2023-2025,,"Reisiteenuste ostmine 2023-2025 || Hankija otsib lepingupartnerit 24-kuulisel perioodil reisiteenuste sh lennupiletite, laevapiletite, majutuse, reisikindlustuse, muu transpordi ning muude reisiteenuste hankimiseks. || Estonia – Travel agency and similar services – Reisiteenuste ostmine 2023-2025"
63516000,Travel management services,Reisikorraldusteenus,,Reisikorraldusteenus || Eesmärk on reisikorraldusteenuse tellimine || Estonia – Travel management services – Reisikorraldusteenus
64200000,Telecommunications services,Andmesidekanalite rentimine,,Andmesidekanalite rentimine || Käesoleva hankega tellitakse pakkujalt/täitjalt andmesidekanaleid ja kliendiühendusi. || Estonia – Telecommunications services – Andmesidekanalite rentimine
64210000,Telephone and data transmission services,"Lepingu esemeks on Siseministeeriumi valitsemisala kõne- ja andmesideteenused koos lisateenuste ja toodetega. Hanke tulemusel sõlmitakse raamleping kolmeks aastaks ühe partneriga, võimalusega pikendada raamlepingut 1 aasta võrra. Raamleping sõlmitakse ühe partneriga. Igal tellijal on õigus sõlmida raamlepingu partneriga eraldi kokkulepe konkreetsele tellijale kohaste tingimustega. Raamleping ja nimetatud kokkulepped sõlmitakse eesti keeles.",,"Lepingu esemeks on Siseministeeriumi valitsemisala kõne- ja andmesideteenused koos lisateenuste ja toodetega. Hanke tulemusel sõlmitakse raamleping kolmeks aastaks ühe partneriga, võimalusega pikendada raamlepingut 1 aasta võrra. Raamleping sõlmitakse ühe partneriga. Igal tellijal on õigus sõlmida raamlepingu partneriga eraldi kokkulepe konkreetsele tellijale kohaste tingimustega. Raamleping ja nimetatud kokkulepped sõlmitakse eesti keeles. || Estonia – Telephone and data transmission services – Sideteenused"
65300000,Electricity distribution and related services,Virtsu sadama elektriliitumine võrguühenduse tagamiseks elektrilaevade taristu rajamiseks,,Virtsu sadama elektriliitumine võrguühenduse tagamiseks elektrilaevade taristu rajamiseks || Estonia – Electricity distribution and related services – Virtsu sadama elektriliitumine võrguühenduse tagamiseks elektrilaevade taristu rajamiseks || Kuivastu sadama elektriliitumine võrguühenduse tagamiseks elektrilaevade taristu rajamiseks || Estonia – Electricity distribution and related services – Kuivastu sadama elektriliitumine võrguühenduse tagamiseks elektrilaevade taristu rajamiseks
66114000,Financial leasing services,Elektrikaubikute finantseerimine,,Elektrikaubikute finantseerimine || Estonia – Financial leasing services – Elektrikaubikute finantseerimine || Ametisõidukite kasutusrendile võtmine Maksu- ja Tolliametile || Ametisõidukite kasutusrendile võtmine Maksu- ja Tolliametile 48 või 60 kuuks vastavalt hanke osale. || Ametisõidukite kasutusrendile võtmine 60 kuuks || Estonia – Financial leasing services – Ametisõidukite kasutusrendile võtmine Maksu- ja Tolliametile
66510000,Insurance services,Reisi- ja tervisekindlustus,,Reisi- ja tervisekindlustus || Reisi- ja tervisekindlustus pikaajalises välislähetuses viibiva Kaitseministeeriumi valitsemisala teenistujale ning temaga kaasas olevale pereliikmele (abikaasa ja alaealine laps või põhi- või keskharidust omandav või abi vajav töövõimetu täisealine laps). || Estonia – Insurance services – Reisi- ja tervisekindlustus
66514150,Vessel insurance services,Mitmeotstarbelise laeva EVA - 316 kindlustamine,,Mitmeotstarbelise laeva EVA - 316 kindlustamine || Estonia – Vessel insurance services – Mitmeotstarbelise laeva EVA - 316 kindlustamine || Mõõdistuslaev Jakob Prei kindlustamine || Estonia – Vessel insurance services – Mõõdistuslaev Jakob Prei kindlustamine || Jäämurdja Tarmo kindlustamine || Estonia – Vessel insurance services – Jäämurdja Tarmo kindlustamine
66516100,Motor vehicle liability insurance services,Liiklus- ja kaskokindlustuse hankimine,,Liiklus- ja kaskokindlustuse hankimine || Riigihanke esemeks on hankija omandis või kasutuses olevatele sõidukitele liiklus- ja kaskokindlustuse tellimine vastavalt liikluskindlustuse seadusele. || Majandussõidukite kaskokindlustus || Estonia – Motor vehicle liability insurance services – Liiklus- ja kaskokindlustuse hankimine
70332000,Non-residential property services,Tehnohooldusteenuse tellimine Lääne piirkonna Lääne ja Rapla maakonna objektidele alates 2023,,"Tehnohooldusteenuse tellimine Lääne piirkonna Lääne ja Rapla maakonna objektidele alates 2023 || Hange korraldatakse tehnohooldusteenuse tellimiseks Läänemaa ja Raplamaa objektidele. Hanke Osas I tellitakse tavatehnohooldusteenust Läänemaal olevatele objektidele, kuni 72 kuuks, eeldusliku teenuse algusajaga 01.05.2023.a. Hanke Osas I tellitakse nõrkvoolu tehnohooldusteenust Läänemaal olevatele objektidele, kuni 72 kuuks, eeldusliku teenuse algusajaga 01.05.2023.a. Hanke Osas III tellitakse tavatehnohooldusteenust Raplamaal olevatele objektidele, kuni 72 kuuks, eeldusliku teenuse algusajaga 01.05.2023.a. Hanke Osas IV tellitakse nõrkvoolu tehnohooldusteenust Raplamaal olevatele objektidele, kuni 72 kuuks, eeldusliku teenuse algusajaga 01.05.2023.a. || Hange korraldatakse tehnohooldusteenuse tellimiseks Läänemaa ja Raplamaa objektidele. Hanke Osas I tellitakse tavatehnohooldusteenust Läänemaal olevatele objektidele, kuni 72 kuuks, eeldusliku teenuse algusajaga 01.05.2023.a. || Estonia – Non-residential property services – Tehnohooldusteenuse tellimine Lääne piirkonna Lääne ja Rapla maakonna objektidele alates 2023 || AS Lääne-Tallinna Keskhaigla kinnistute heakorratööd || Riigihanke esemeks on AS Lääne-Tallinna Keskhaigla kinnistute väliheakorratööd, millega tagatakse AS Lääne-Tallinna Keskhaigla kinnistute väliterritooriumi esteetiline üldmulje, korrastatus ja turvalisus. || Meremeeste haigla, Paldiski mnt.68,Paldiski mnt.68/1, Paldiski mnt.68/2, Paldiski mnt.68C,Põhja-Tallinna linnaosa, Tallinn; Merimetsa nakkuskliinik, Paldiski mnt.62, Paldiski mnt.66, Merelahe tee 6, Põhja-Tallinna linnaosa, Tallinn; || Estonia – Non-residential property services – AS Lääne-Tallinna Keskhaigla kinnistute heakorratööd"
71000000,"Architectural, construction, engineering and inspection services","Servizi di progettazione, consulenza, direzione lavori, collaudi e coordinamento della sicurezza attinenti l'architettura, l’ingegneria civile, l’urbanistica, l’ambiente e l'ingegneria impiantistica.",,"Servizi di progettazione, consulenza, direzione lavori, collaudi e coordinamento della sicurezza attinenti l'architettura, l’ingegneria civile, l’urbanistica, l’ambiente e l'ingegneria impiantistica. || Servizi di progettazione, consulenza, direzione lavori, collaudi e coordinamento della sicurezza attinenti l'architettura, l’ingegneria civile, l’urbanistica, l’ambiente e l'ingegneria impiantistica, nell’ambito delle attività svolte presso il Centro Comune di Ricerca Ispra. Scopo delle attività è di fornire consulenza alla direzione del sito per la gestione delle infrastrutture, nella progettazione, direzione dei lavori, collaudi, perizie, verifiche e coordinamento della sicurezza nei cantieri di costruzione e/o ristrutturazione e manutenzione di edifici, impianti ed infrastrutture del sito. || [""Servizi di progettazione, consulenza, direzione lavori, collaudi e coordinamento della sicurezza attinenti l'architettura, l’ingegneria civile, l’urbanistica, l’ambiente e l'ingegneria impiantistica, nell’ambito delle attività svolte presso il Centro Comune di Ricerca Ispra. Scopo delle attività è di fornire consulenza alla direzione del sito per la gestione delle infrastrutture, nella progettazione, direzione dei lavori, collaudi, perizie, verifiche e coordinamento della sicurezza nei cantieri di costruzione e/o ristrutturazione e manutenzione di edifici, impianti ed infrastrutture del sito""] || Italy – Architectural, construction, engineering and inspection services – Servizi di progettazione, consulenza, direzione lavori, collaudi e coordinamento della sicurezza attinenti l'architettura, l’ingegneria civile, l’urbanistica, l’ambiente e l'ingegneria impiantistica."
71200000,Architectural and related services,Riiklike messistendide arhitektuurne ja kujunduslik lahendus 2024-2025,,"Riiklike messistendide arhitektuurne ja kujunduslik lahendus 2024-2025 || Hanke eesmärgiks on leida partnerid, kes osutaksid messistendi (edaspidi nimetatud ka ühisstend) arhitektuursete- ja kujunduslahenduste koostamise teenust hankija poolt korraldatavatele riiklikele ühisstendidele. || Estonia – Architectural and related services – Riiklike messistendide arhitektuurne ja kujunduslik lahendus 2024-2025"
71240000,"Architectural, engineering and planning services",Kilingi-Nõmme linnakeskuse avaliku ruumi arhitektuurivõistlus,,"Kilingi-Nõmme linnakeskuse avaliku ruumi arhitektuurivõistlus || Arhitektuurivõistlus on avatud riigihanke ideekonkurss väliruumi eskiisprojekti saamiseks. Konkursi eesmärgiks on leida terviklik ruumiline lahendus Kilingi-Nõmme keskusele – keskväljakule ja kesksele osale Pärnu tn-st. Võistlus korraldatakse EV 100 arhitektuuriprogrammi “Hea avalik ruum” jätkuprogrammi raames. || Estonia – Architectural, engineering and planning services – Kilingi-Nõmme linnakeskuse avaliku ruumi arhitektuurivõistlus || Tallinna Heleni Kooli projekteerimine || Tallinna Heleni koolis asuvad erivajadustega õpilased ja asub lasteaed. Koolis õpib hetkel 98 õpilast (20 klassikomplekti), aastaks 2023/2024 on kuni 160 õpilast (kuni 30 klassikomplekti). Lasteaias on 77 last (8 rühma), tulevikus kuni 91 last (10 rühma). Planeeritavad projekteerimistööd: C-korpuse olemasolevad ruumid ja klassid jäävad alles. D ja L korpuste ümberehitus- ja ehitustööde käigus ehitatakse C korpuse 0 korruse muusikaklass ja ladu ümber sööklaks, samuti tuleb sinna köögiblokk võimsusega toitlustada 160 koolilast ja 80 lasteaialast. Spordisaal jääb alles, kuid vajalik on renoveerida amortiseerunud katus, põrand ning wc-d ja dušširuumid. Samuti küttesüsteem, torustik ning ventilatsioon. C-korpus tuleb uuesti mõõdistada, kuna ruumid muutunud. Uue planeeringu arvutused on ligikaudsed: C-korpus kokku 1800 m²; L-korpus kokku 1600 m²; C ja L vahekorpus 150 m²; D-korpus kokku 1650 m². Projekteerimistöödeks eeldatav töömaht kokku on ca 5200 m². || Estonia – Architectural, engineering and planning services – Tallinna Heleni Kooli projekteerimine || Soomaa rahvuspargi külastuskeskuse peahoone rekonstrueerimise ja laienduse ning õueala hoonete ja rajatiste projekteerimine || Hanke tulemusel tellitakse RMK Soomaa rahvuspargi külastuskeskuse peahoone ning õueala hoonete ja rajatiste projekteerimistööde ja vajalike uurimistööde tegemine ning nende töödega seotud asjaajamine aadressil Kõrtsi-Tõramaa, Tipu küla, Põhja-Sakala vald, Viljandi maakond (katastriüksus 36001:004:0680, kinnisvarakood KV1307)."
71241000,"Feasibility study, advisory service, analysis",Measuring and assessing skills needs in construction - study,,"Measuring and assessing skills needs in construction - study || Cover current lack of data of data on skills need for the construction ecosystem. Support the development of evidence-based policy and initiatives to upskill and reskill construction professionals in order to achieve the green and digital transition || Belgium – Feasibility study, advisory service, analysis – Measuring and assessing skills needs in construction - study || Auvere Agropargi teostatavus- ja tasuvusanalüüs || Hankemenetluse eesmärgiks on teostada Auvere Agropargi teostatavus- ja tasuvusanalüüs. || Estonia – Feasibility study, advisory service, analysis – Auvere Agropargi teostatavus- ja tasuvusanalüüs || Review of HFR Decommissioning Plan, cost estimate and its implementation || The Call for Tenders concerns the review of the Decommissioning Plan (and associated cost estimate) of HFR, the nuclear reactor on the Petten site JRC owns and for whose decommissioning JRC is responsible. The review will also elaborate on the implications the Decommissioning Plan has in terms of the internal organization that JRC needs to set up to manage the decommissioning of HFR effectively and efficiently. See attached Justification Note for more background."
71244000,"Calculation of costs, monitoring of costs",Hindamisteenuse tellimine Rail Baltica projekti raames: pakkumuse esitamise kutse nr 31 (Raba tee 3),,"Hindamisteenuse tellimine Rail Baltica projekti raames: pakkumuse esitamise kutse nr 31 (Raba tee 3) || Hanke objektiks on hindamisaruannete koostamine ühe hoonestamata kinnisasja hüvitamise eesmärgil hinnatava väärtuse leidmiseks. Hanke objektide täpsem kirjeldus on esitatud hindamise lähteülesannetes. || Estonia – Calculation of costs, monitoring of costs – Hindamisteenuse tellimine Rail Baltica projekti raames: pakkumuse esitamise kutse nr 31 (Raba tee 3)"
71247000,Supervision of building work,Rail Baltic Ülemiste reisiterminali raudteerajatiste ehitus- ja garantiiperioodi aegse omanikujärelevalve teenuse osutamine,,Rail Baltic Ülemiste reisiterminali raudteerajatiste ehitus- ja garantiiperioodi aegse omanikujärelevalve teenuse osutamine || Estonia – Supervision of building work – Rail Baltic Ülemiste reisiterminali raudteerajatiste ehitus- ja garantiiperioodi aegse omanikujärelevalve teenuse osutamine
71300000,Engineering services,Kaugjuhitava mereuuringuteks sobiva autonoomse ujuvaluse (ASV) lahenduse väljatöötamine ja teostus,,"Kaugjuhitava mereuuringuteks sobiva autonoomse ujuvaluse (ASV) lahenduse väljatöötamine ja teostus || Käesoleva hankemenetluse esemeks on kaugjuhitava mereuuringuteks sobiva autonoomse ujuvaluse (ASV) lahenduse väljatöötamine ja teostus vastavalt HD lisas 1 esitatud tingimustele. Valmislahenduse üleandmise tähtaeg on hiljemalt 16 (kuusteist) kuud pärast hankelepingu sõlmimist. Tööd teostatakse neljas etapis ja iga etapi lõpus tuleb üle anda konkreetne tulemus: I etapp - projekteerimine (mehaanika, elekter, juhtsüsteem), 2 kuud lepingu sõlmimisest; II etapp - ASV korpus (materjalid, valmistamine), 4 kuud lepingu sõlmimisest: III etapp - jõuseadmed (soetamine, paigaldamine, katsetamine, seadistamine), 9 kuud lepingu sõlmimisest; IV etapp - juhtsüsteem (seadmed, andurid, paigaldus, katsetamine, seadistamine), 16 kuud lepingu sõlmimisest. || Estonia – Engineering services – Kaugjuhitava mereuuringuteks sobiva autonoomse ujuvaluse (ASV) lahenduse väljatöötamine ja teostus"
71310000,Consultative engineering and construction services,Kaitseväe lasketiirude kuulipüüdjate pinnaseuuring,,"Kaitseväe lasketiirude kuulipüüdjate pinnaseuuring || Keskkonnaalased strateegilised dokumendid (nt keskkonnakorralduskava, jäätmekava) ning keskkonnauuringud ja eelhinnangud, eluta looduse seire (sh veeseire ja pinnaseproovid) ja müra- ning vibratsiooniuuringud jm eeltooduga seonduv. || Estonia – Consultative engineering and construction services – Kaitseväe lasketiirude kuulipüüdjate pinnaseuuring || Ämari välisosa elektripaigaldise ekspertiis (alajaam, kesk- ja madalpinge) || * Projektid väljastatakse edukale pakkujale peale projektdokumentatsiooni valmimist ja ekspertiisilepingu sõlmimist. Tööprojekt on valmis. * Ekspertiisi valmimise tähtaeg: 2 (kaks) nädalat peale projektdokumentatsiooni üle andmist ekspertiisi teostajale. * Ekspertiisi koostaja poolt teostatava järelkontrolli valmimise tähtaeg: 2 (kaks) nädalat peale projekteerija poolt ekspertiisi märkuste parandamist projektis. * Täpsem hanke sisu lisa 1. Tehniline kirjeldus. || Valdkonnapõhised ekspertiisid ja konsultatsiooniteenused ning nende tulemid. Hanke objekti valdkondadeks võivad selles kategoorias olla muu hulgas: ehitusprojektide (hooned ja rajatised, sh teed) ekspertiis (eel-, põhi- ja tööprojekt); ehitustööde omanikujärelevalve (hooned ja rajatised, sh teed); ehitusgeoloogilised uurimistööd; topo-geodeetilised uurimistööd; tehnilise konsultandi teenus (nt tasuvusanalüüsid, auditid jms); hoonete ja rajatiste ekspluatatsiooniperioodi hooldustööde konsultatsioon, sh kvaliteedi kontroll; erinevate kasutusfunktsioonidega hoonete sisustus (nt töökoja- ja garaažiseadmed, spordisaalide seadmed, suurköögiseadmed, erimööbel), hoonete ja ruumide mõõdistamine, mille tulemuseks on inventariseerimisjoonised ja eksplikatsioonitabelid; tuleohutusega seonduv. || Estonia – Consultative engineering and construction services – Ämari välisosa elektripaigaldise ekspertiis (alajaam, kesk- ja madalpinge) || Ämari parkla ja kergliiklustee omanikujärelevalve teenus"
71317200,Health and safety services,Turvateenuste tellimine,,"Turvateenuste tellimine || Turvateenuste osutamine Tallinna Tehnikaülikooli ja MTÜ Üliõpilasküla (edaspidi Tellija) valveobjektidel, eesmärgiga tagada seal viibivate isikute ohutus ning Tellija vara valve ja kaitse || Estonia – Health and safety services – Turvateenuste tellimine"
71320000,Engineering design services,"TTÜ hoonete kütte, ventilatsiooni, jahutuse ja automaatika projekteerimistööde tellimine",,"TTÜ hoonete kütte, ventilatsiooni, jahutuse ja automaatika projekteerimistööde tellimine || Estonia – Engineering design services – TTÜ hoonete kütte, ventilatsiooni, jahutuse ja automaatika projekteerimistööde tellimine || Märgalade taastamise projekteerimistööde raamleping (3) || Hankija soovib riigihanke tulemusena tellida märgalade taastamisprojektide koostamise teenust raamlepingute ja nende alusel sõlmitavate hankelepingute kaudu. || Estonia – Engineering design services – Märgalade taastamise projekteerimistööde raamleping (3) || Riigitee 2 (E263) Tallinn-Tartu-Võru-Luhamaa km 160,6-165,5 asuva Kärevere möödasõidu põhiprojekti koostamine || Riigitee 2 (E263) Tallinn-Tartu-Võru-Luhamaa km 160,6-165,5 asuva Kärevere möödasõidu põhiprojekti koostamine vastavalt riigihanke alusdokumentides toodud tingimustele. || Estonia – Engineering design services – Riigitee 2 (E263) Tallinn-Tartu-Võru-Luhamaa km 160,6-165,5 asuva Kärevere möödasõidu põhiprojekti koostamine"
71323100,Electrical power systems design services,Elektrivõrkude ja seonduvate taristute projekteerimine,,"Elektrivõrkude ja seonduvate taristute projekteerimine || Eesti Energia AS loob dünaamilise hankesüsteemi elektrivõrgu, siderajatiste multitorusüsteemide, tänavavalgustusvõrgu ja elektriautode laadimistaristu projekteerimiseks üle Eesti kehtivusajaga 60 kuud, millega selle kehtivusajal kvalifitseerimise tingimustele vastavad ettevõtjad võivad jooksvalt liituda. Dünaamilise hankesüsteemi alusel hangitakse eelmainitud projekteerimistöid keskselt nii kontserni kuuluvatele ettevõtetele kui vabatahtliku keskse hankimise kaudu soetajatele. || Estonia – Electrical power systems design services – Elektrivõrkude ja seonduvate taristute projekteerimine || Projekteerimistööde teostamine Valgamaal ja Lääne-Võrumaal || Projekteerimine Valgamaa ja Lääne-Võrumaa piirkonnas. Riigihanke mahtu kuulub 0,22-20 kV elektrivõrgu, lihtsamate kuni 35 kV elektrivõrgu tööde, siderajatise multitorusüsteemi, tänavavalgustusvõrgu ja elektriautode laadimistaristu projekteerimine. Siderajatise multitorusüsteemi ja tänavavalgustusvõrgu projekteerimist tellib hankija üldjuhul siis, kui see projekteeritakse projekteeritava elektrivõrguga suuremas osas samasse trassi või asub samas projektalas. Hankija ei telli hankelepingu alusel sidekaablite ega -kilpide projekteerimist. || Estonia – Electrical power systems design services – Projekteerimistööde teostamine Valgamaal ja Lääne-Võrumaal"
